model,version,year,km,color,price,location
Giulietta,1.6 JTD Super TCT,2018,73500,Beyaz,734500,Ýstanbul Ataþehir
Giulietta,1.6 JTD Progression,2017,44500,Beyaz,627500,Ýstanbul Ataþehir
Giulietta,1.6 JTD Super TCT,2018,46500,Kýrmýzý,657000,Ýstanbul Ataþehir
Giulietta,1.4 TB MultiAir Distinctive,2015,259000,Siyah,520850,Ýstanbul Maltepe
156,1.6 TS Distinctive,2005,243000,Siyah,210000,Ýzmir Buca
159,1.9 JTD Distinctive Plus,2009,285000,Beyaz,405000,Gaziantep Þahinbey
156,2.0 TS,2003,200000,Kýrmýzý,195000,Adana Yüreðir
146,1.6 L,1996,332000,Siyah,125000,Adana Seyhan
156,1.6 TS,1998,261000,Yeþil,126000,Bayburt Merkez
147,1.6 TS Progression,2009,182000,Kýrmýzý,274000,Ýstanbul Sarýyer
Giulietta,1.6 JTD Distinctive,2012,180000,Beyaz,339850,Ýstanbul Eyüpsultan
Giulietta,1.6 JTD Super TCT,2016,110000,Gri,775000,Konya Meram
Giulietta,1.6 JTD Distinctive,2014,98900,Beyaz,505000,Gaziantep Þahinbey
MiTo,1.4 T MultiAir TCT,2013,99000,Beyaz,429900,Ýstanbul Büyükçekmece
159,1.9 JTD Distinctive,2007,282000,Bej,370000,Konya Ereðli
Giulietta,1.6 JTD Distinctive,2012,280000,Siyah,325000,Bursa Nilüfer
Giulietta,1.6 JTD Progression,2018,55750,Gri,595000,Ýstanbul Kartal
Giulietta,1.6 JTD Progression Plus,2015,204000,Beyaz,430900,Ankara Yenimahalle
MiTo,1.3 JTD City,2013,138000,Beyaz,395000,Bursa Nilüfer
159,1.9 JTD Distinctive Plus,2009,201000,Kahverengi,300000,Samsun Canik
156,2.0 TS Selespeed,2002,316000,Gri,160000,Ýstanbul Esenyurt
156,2.0 JTS Distinctive,2004,250000,Siyah,252000,Ýzmir Buca
Giulietta,1.6 JTD Distinctive,2014,60500,Kýrmýzý,535000,Ýstanbul Ümraniye
